Task 3 report
==================================================
Function: cos(x) = sum((-1)^n * x^(2n) / (2n)!)

Table:
x | n | F(x) | Math F(x) | eps | abs_error
-10.000 | 16 | -0.8394202052 | -0.8390715291 | 0.001000 | 0.0003486761
-9.900 | 16 | -0.8894443553 | -0.8891911526 | 0.001000 | 0.0002532027
-9.800 | 16 | -0.9306095415 | -0.9304262721 | 0.001000 | 0.0001832694
-9.700 | 16 | -0.9624970880 | -0.9623648798 | 0.001000 | 0.0001322082
-9.600 | 16 | -0.9847829039 | -0.9846878558 | 0.001000 | 0.0000950481
-9.500 | 15 | -0.9964310655 | -0.9971721562 | 0.001000 | 0.0007410907
-9.400 | 15 | -0.9991525717 | -0.9996930420 | 0.001000 | 0.0005404703
-9.300 | 15 | -0.9918325081 | -0.9922253255 | 0.001000 | 0.0003928173
-9.200 | 15 | -0.9745591125 | -0.9748436214 | 0.001000 | 0.0002845089
-9.100 | 15 | -0.9475162712 | -0.9477216021 | 0.001000 | 0.0002053309
-9.000 | 15 | -0.9109826123 | -0.9111302619 | 0.001000 | 0.0001476496
-8.900 | 15 | -0.8653294315 | -0.8654352092 | 0.001000 | 0.0001057778
-8.800 | 14 | -0.8119324222 | -0.8110930141 | 0.001000 | 0.0008394082
-8.700 | 14 | -0.7492573285 | -0.7486466456 | 0.001000 | 0.0006106829
-8.600 | 14 | -0.6791626800 | -0.6787200473 | 0.001000 | 0.0004426327
-8.500 | 14 | -0.6023315114 | -0.6020119027 | 0.001000 | 0.0003196088
-8.400 | 14 | -0.5195185348 | -0.5192886541 | 0.001000 | 0.0002298807
-8.300 | 14 | -0.4315415301 | -0.4313768450 | 0.001000 | 0.0001646851
-8.200 | 14 | -0.3392723596 | -0.3391548610 | 0.001000 | 0.0001174986
-8.100 | 14 | -0.2436276360 | -0.2435441537 | 0.001000 | 0.0000834823
-8.000 | 13 | -0.1448096818 | -0.1455000338 | 0.001000 | 0.0006903520
-7.900 | 13 | -0.0455033621 | -0.0460021256 | 0.001000 | 0.0004987635
-7.800 | 13 | 0.0543142598 | 0.0539554206 | 0.001000 | 0.0003588392
